CONTROLN,HIT,MALEMILI,MALEVET,VIETVETS,WWIIVETS,LOCALGOV,STATEGOV,FEDGOV,LONGEVITY,AGE,RAMNTALL,NGIFTALL,AVGGIFT,PROP_RESP_CARDPROM,HHAGE3,HV2,HVP4,IC5,EC4
40600,0,0,36,11,60,8,2,1,131,16.0,0.8,0.7,1.1428571429,0.14285714285714285,42,1613,93,24445,23
40602,3,0,38,27,38,1,2,1,143,76.0,2.65,0.8,3.3125,0.11538461538461539,23,2234,99,35569,19
40606,1,0,38,27,38,1,2,1,167,48.0,2.05,0.8,2.5625,0.1875,23,2234,99,35569,19
40626,0,0,33,16,56,3,1,0,167,73.0,3.075,1.6,1.921875,0.4583333333333333,91,1530,68,15487,47
40630,9,0,33,16,56,3,1,0,179,78.0,4.42,1.3,3.4,0.16129032258064516,20,4345,99,66280,18
40671,1,0,35,39,26,8,1,1,71,46.0,0.5,0.2,2.5,0.125,20,1136,81,18551,29
40714,0,0,50,14,45,11,12,4,119,79.0,1.19,3.0,0.39666666667,0.391304347826087,32,610,24,10584,37
40768,0,0,50,24,56,10,3,3,155,60.0,2.94,3.7,0.79459459459,0.5666666666666667,49,640,25,9324,34
40790,0,0,43,21,51,8,5,1,179,49.0,2.6425,3.4,0.77720588235,0.5588235294117647,45,592,19,11018,35
40824,0,0,47,16,65,5,3,2,167,49.0,3.0208,3.9,0.7745641025599999,0.6153846153846154,56,806,43,11881,40
40825,0,4,47,13,45,9,3,5,167,81.0,2.63,3.6,0.73055555556,0.59375,43,802,38,11728,43
40900,6,0,25,44,26,10,2,0,179,83.0,3.13,1.9,1.6473684211,0.30303030303030304,8,1873,98,18357,23
40910,3,0,27,56,31,9,4,1,95,77.0,0.58,0.2,2.9,0.1,13,956,64,12693,28
40917,0,0,36,11,31,4,7,2,179,77.0,5.19,6.2,0.8370967741900002,0.7647058823529411,14,972,72,11232,37
40926,5,0,24,22,22,11,3,4,83,62.0,0.77,0.3,2.5666666666999998,0.0625,24,491,9,7914,28
40991,9,0,63,13,64,0,0,0,179,62.0,2.43,3.1,0.78387096774,0.5714285714285714,82,1014,83,23827,37
41004,9,0,59,9,81,0,4,8,83,71.0,0.48,1.0,0.48,0.625,82,1014,83,23827,37
41005,0,0,20,21,41,10,3,1,107,6.0,0.98,1.1,0.8909090909099999,0.14285714285714285,11,1461,79,23281,21
41034,0,1,33,62,22,9,4,4,107,41.0,5.83,2.4,2.4291666666999996,0.5454545454545454,10,1049,74,14339,26
41040,0,1,35,38,18,9,3,0,131,55.0,2.9,3.5,0.8285714285700001,0.5185185185185185,16,725,25,10587,33
41093,0,7,32,46,31,0,5,0,179,85.0,0.36,1.2,0.3,0.6666666666666666,18,3198,95,23498,17
41122,0,0,41,12,10,13,0,0,83,49.0,5.01,2.0,2.505,0.5625,8,914,51,14397,34
41133,0,2,28,29,32,3,2,0,179,17.0,2.03,1.8,1.1277777778,0.4,14,1626,88,35591,18
41172,12,0,39,39,45,9,5,5,179,78.0,1.55,3.0,0.51666666667,0.5714285714285714,34,569,12,16664,27
41191,0,0,41,27,39,11,2,2,179,83.0,7.04,4.0,1.7600000000000002,0.5588235294117647,28,1631,96,26972,12
41228,0,0,29,44,21,8,3,2,71,59.0,0.55,0.2,2.75,0.08333333333333333,15,469,1,9446,23
41268,0,0,43,6,59,1,3,0,131,67.0,1.95,0.8,2.4375,0.25,34,2559,99,39403,17
41305,0,0,44,57,25,12,0,0,131,43.0,2.67,1.5,1.78,0.3076923076923077,11,423,2,8452,20
41313,0,0,41,16,57,12,0,2,179,76.0,2.03,4.8,0.42291666667000005,0.65625,49,559,8,12405,22
41340,0,0,18,13,14,6,2,1,71,49.0,0.7,0.2,3.5,0.1111111111111111,33,1451,87,34085,17
41417,0,0,31,35,16,8,2,3,107,38.0,1.15,0.4,2.875,0.14285714285714285,18,668,26,8809,32
41431,0,0,30,32,25,8,8,3,167,53.0,1.735,2.7,0.6425925925900001,0.6206896551724138,20,1115,65,10014,23
41451,0,0,40,11,43,15,3,4,131,67.0,1.38,2.5,0.5519999999999999,0.6,20,937,81,20750,17
41470,11,0,44,21,33,11,3,0,83,39.0,0.5,0.2,2.5,0.14285714285714285,18,754,37,11306,33
41525,7,0,26,37,21,5,4,1,179,34.0,2.82,0.9,3.1333333333000004,0.19230769230769232,16,871,78,13392,37
41594,4,1,25,37,17,5,1,3,179,49.0,2.56,0.9,2.8444444444,0.07142857142857142,9,691,33,11829,31
41649,0,0,41,32,26,4,0,0,107,49.0,1.4,0.4,3.5,0.06666666666666667,61,1119,50,10950,28
41681,14,2,40,34,45,8,2,4,131,50.0,2.26,0.9,2.5111111111,0.12,40,1658,87,24550,23
41684,0,0,51,51,25,6,7,3,143,40.0,2.65,0.8,3.3125,0.3333333333333333,14,1658,77,20405,15
41699,2,0,47,24,48,8,1,5,179,6.0,2.05,1.7,1.2058823529000002,0.375,15,625,0,17412,28
41702,10,0,50,28,57,8,1,3,119,81.0,0.91,1.8,0.50555555556,0.8666666666666667,53,1086,68,21705,30
41721,7,2,34,38,45,3,2,3,131,78.0,0.85,1.9,0.44736842105,0.6086956521739131,39,585,12,11015,38
41727,0,1,39,31,44,7,1,2,179,17.0,10.69,4.5,2.3755555555999996,0.6470588235294118,57,2258,99,26089,25
41749,0,1,33,29,39,6,7,2,179,79.0,2.17,3.8,0.57105263158,0.5294117647058824,21,797,45,14287,21
41750,1,0,43,31,36,9,4,6,179,16.0,1.71,3.2,0.534375,0.696969696969697,31,571,11,12749,32
41830,0,0,47,24,63,4,5,2,167,6.0,1.37,1.2,1.1416666667000002,0.16666666666666666,50,1819,86,28075,25
41871,0,0,37,37,38,5,4,3,179,68.0,3.05,2.5,1.22,0.2903225806451613,36,1659,74,32323,25
41894,0,1,44,15,49,4,2,2,119,60.0,2.67,2.4,1.1125,0.4166666666666667,31,878,64,15428,31
41901,0,0,40,23,35,4,1,3,143,41.0,2.38,0.9,2.6444444444000004,0.16,25,385,1,12349,40
41915,3,0,40,15,45,8,3,1,179,47.0,2.81,2.2,1.2772727273,0.45161290322580644,34,616,17,11645,29
41921,0,0,29,27,53,11,0,3,59,69.0,0.5,0.2,2.5,0.14285714285714285,26,650,21,12581,35
41922,0,0,37,5,61,11,6,4,59,49.0,1.1,0.2,5.5,0.14285714285714285,49,770,29,14274,27
41944,0,0,49,9,57,7,18,2,167,49.0,3.13,4.3,0.72790697674,0.7333333333333333,23,1796,94,19086,12
41968,0,0,13,23,0,27,9,0,179,86.0,6.1,4.1,1.487804878,0.7333333333333333,25,466,2,10340,19
41980,0,0,39,35,31,15,4,2,143,61.0,2.86,1.6,1.7875,0.14285714285714285,25,743,37,18525,22
41982,3,0,50,17,58,8,1,3,179,77.0,1.11,2.2,0.50454545455,0.6071428571428571,45,1246,76,21696,27
42009,0,0,40,33,52,8,2,5,179,80.0,3.31,4.7,0.70425531915,0.8125,40,660,26,13817,27
42011,2,0,33,36,26,6,4,4,179,16.0,1.24,2.2,0.5636363636399999,0.3548387096774194,29,783,51,17101,39
42017,0,0,35,14,54,10,1,1,71,51.0,4.15,0.8,5.1875,0.3333333333333333,56,437,2,9481,30
42081,2,0,39,25,34,11,3,2,155,81.0,0.75,3.1,0.24193548387,0.5172413793103449,18,543,7,11964,34
42085,0,0,45,19,62,12,0,2,179,49.0,0.7601,3.0,0.25336666666999996,0.45714285714285713,48,690,21,10201,46
42086,8,0,45,19,62,12,0,2,179,76.0,2.99,2.7,1.1074074074,0.5882352941176471,48,690,21,10201,46
42103,1,0,40,14,46,12,2,1,83,68.0,2.29,0.9,2.5444444444000003,0.25,36,704,23,17610,24
42112,0,0,39,5,74,15,2,0,131,77.0,2.04,0.8,2.55,0.2608695652173913,34,791,38,14474,25
42145,0,1,40,12,56,9,1,2,59,81.0,0.5,0.2,2.5,0.16666666666666666,41,954,51,15734,30
42179,0,0,28,29,30,9,2,1,179,70.0,1.705,3.3,0.51666666667,0.6176470588235294,14,633,25,10736,39
42238,0,1,30,24,46,8,24,1,179,49.0,4.56,2.0,2.2800000000000002,0.48,43,1082,65,11322,45
42288,11,1,40,20,56,8,9,1,167,81.0,0.97,1.6,0.60625,0.6363636363636364,39,622,25,12049,34
42309,1,1,22,24,38,5,1,3,179,47.0,1.81,3.5,0.51714285714,0.6363636363636364,13,475,10,8331,32
42319,0,0,30,23,51,11,5,2,167,77.0,3.5,2.7,1.2962962963,0.40625,27,486,16,9674,32
42345,0,0,32,23,43,8,2,1,107,49.0,1.75,0.7,2.5,0.09523809523809523,28,547,13,11124,35
42397,0,0,39,34,33,7,2,2,179,60.0,3.82,1.7,2.2470588235,0.3870967741935484,18,748,40,12617,39
42418,0,0,38,22,42,0,18,0,167,79.0,2.71,3.0,0.90333333333,0.7,23,397,6,10652,47
42420,0,0,32,14,88,11,2,0,179,77.0,1.22,1.3,0.93846153846,0.6842105263157895,45,758,35,13208,33
42424,0,0,44,16,79,13,0,0,71,17.0,0.25,0.2,1.25,0.2222222222222222,61,707,35,12093,32
42429,15,0,41,13,56,10,3,2,71,17.0,0.25,0.2,1.25,0.1111111111111111,37,815,43,14904,30
42439,3,0,0,0,0,0,13,0,107,58.0,1.09,0.4,2.725,0.17647058823529413,31,843,53,22109,34
42491,0,0,22,15,40,11,5,1,167,55.0,3.09,2.1,1.4714285714000002,0.5151515151515151,29,518,18,9420,28
42532,12,3,66,3,74,6,10,4,119,65.0,2.76,1.5,1.8399999999999999,0.34782608695652173,51,971,52,16842,32
42533,4,0,50,10,72,10,5,3,119,75.0,2.87,0.8,3.5875,0.2608695652173913,59,782,42,15149,40
42540,1,0,21,0,99,27,0,13,179,16.0,1.39,1.9,0.73157894737,0.3,0,0,0,0,0
42665,0,0,44,38,36,5,7,2,107,7.0,1.45,1.0,1.45,0.3333333333333333,38,1228,83,20075,30
42670,0,0,41,21,66,8,4,4,143,86.0,2.31,4.0,0.5775,0.7241379310344828,29,1161,80,16128,36
42676,0,0,36,12,45,13,3,0,179,17.0,2.0,3.0,0.66666666667,0.45454545454545453,29,705,25,9449,30
42677,0,0,41,21,66,8,4,4,179,65.0,1.71,2.2,0.77727272727,0.6666666666666666,40,998,38,15453,38
42679,0,0,48,37,24,9,0,4,179,56.0,1.62,2.3,0.7043478260900001,0.6060606060606061,31,654,25,13102,47
42702,22,0,43,15,58,3,0,0,119,65.0,2.45,0.9,2.7222222222,0.2777777777777778,50,1544,90,21270,21
42705,8,0,50,16,73,23,0,2,143,80.0,3.24,2.9,1.1172413792999998,0.5925925925925926,55,1311,82,18657,30
42715,8,0,32,12,41,6,0,2,179,86.0,1.39,3.3,0.42121212120999996,0.5,33,1053,67,12921,38
42740,48,2,52,24,50,6,15,0,155,79.0,3.86,1.6,2.4125,0.3793103448275862,36,1073,65,13586,34
42743,5,0,27,4,41,10,2,0,179,56.0,2.17,3.1,0.7,0.46875,34,595,17,11497,44
42765,0,0,46,5,79,2,2,0,179,86.0,1.42,4.2,0.33809523810000003,0.6774193548387096,23,537,7,12191,32
42766,0,0,46,5,79,2,2,0,179,85.0,5.05,3.0,1.6833333332999998,0.5925925925925926,27,706,34,16470,51
42825,18,0,54,7,64,3,0,0,155,84.0,3.55,1.6,2.21875,0.4838709677419355,45,1432,97,20484,36
42829,0,0,57,6,86,3,6,0,179,73.0,0.955,3.2,0.2984375,0.5806451612903226,80,797,31,18215,49
42849,2,0,54,18,51,9,2,4,155,79.0,4.27,3.1,1.3774193548,0.5483870967741935,31,1873,97,20542,34
42852,0,0,52,21,58,7,3,1,107,31.0,3.03,2.1,1.4428571429000001,0.4782608695652174,19,839,49,11711,37
42857,0,0,23,13,29,11,6,1,143,85.0,5.58,4.9,1.1387755102,0.8214285714285714,14,462,7,7699,24
42864,0,0,26,27,25,22,1,1,59,49.0,0.55,0.2,2.75,0.125,28,782,35,12655,39
42880,5,0,24,19,56,10,4,0,83,74.0,0.7123,0.2,3.5615,0.06666666666666667,25,456,7,8159,30
42893,0,0,52,6,72,21,8,0,167,78.0,1.78,3.0,0.59333333333,0.4827586206896552,30,472,13,10692,43
42910,14,0,47,38,42,10,2,3,83,71.0,0.5,0.2,2.5,0.08333333333333333,35,1057,87,18756,29
42944,0,0,42,5,68,4,1,2,179,43.0,3.2,1.4,2.2857142857,0.43333333333333335,43,3753,96,50158,18
42974,0,0,43,9,69,8,1,0,155,49.0,3.66,5.2,0.70384615385,0.7586206896551724,44,1087,68,14865,39
43045,0,0,42,20,56,7,10,4,179,55.0,1.01,3.4,0.29705882353,0.8571428571428571,50,506,25,27800,0
43048,22,0,41,12,51,8,4,0,179,81.0,2.84,3.3,0.86060606061,0.5882352941176471,51,617,15,15349,52
43050,2,0,48,11,65,4,2,2,179,57.0,5.71,2.2,2.5954545455,0.36363636363636365,56,783,46,12780,34
43095,0,0,34,45,31,7,1,2,119,49.0,2.47,0.7,3.5285714286000003,0.16666666666666666,54,2129,87,37704,25
43101,0,0,38,12,67,7,2,2,179,48.0,3.61,1.9,1.9,0.3333333333333333,50,2857,99,31616,17
43148,0,0,10,0,99,11,0,0,179,82.0,2.12,2.7,0.78518518519,0.6551724137931034,23,1179,97,14818,16
43159,1,0,49,17,57,6,2,1,59,69.0,0.55,0.2,2.75,0.16666666666666666,33,1053,67,12921,38
43204,1,0,70,6,72,2,3,0,179,70.0,1.02,1.7,0.6,0.625,50,2245,98,25717,33
43213,0,0,57,11,58,10,3,2,107,17.0,0.64,1.3,0.49230769231,0.3157894736842105,45,731,31,12787,37
43237,15,1,45,21,50,7,5,1,119,83.0,3.1,1.1,2.8181818182,0.375,41,778,47,11929,41
43256,5,0,51,18,64,6,2,1,167,49.0,1.74,5.1,0.34117647059,0.6451612903225806,32,658,25,16939,19
43264,0,0,47,18,56,7,0,1,179,49.0,2.95,5.0,0.5900000000000001,0.696969696969697,53,769,37,13284,37
43268,7,0,37,18,56,4,1,1,179,56.0,3.44,3.5,0.98285714286,0.5,52,488,5,12275,38
43285,32,0,47,21,56,9,7,3,131,81.0,1.32,0.5,2.6399999999999997,0.07692307692307693,47,735,34,12311,42
43289,1,0,38,21,50,7,7,2,71,69.0,0.5,0.2,2.5,0.1,43,589,20,12091,45
43302,15,0,38,23,58,0,2,3,71,51.0,0.52,0.2,2.6,0.08333333333333333,48,3228,99,46046,20
43316,0,0,38,0,76,5,1,0,179,65.0,2.84,4.4,0.64545454545,0.7272727272727273,32,827,36,12135,27
43324,0,0,52,2,88,14,2,0,71,45.0,0.56,0.2,2.8,0.09090909090909091,31,1764,97,17511,28
43361,0,0,42,21,56,8,2,3,179,80.0,0.87,3.0,0.29,0.59375,59,942,53,17805,32
43385,0,0,54,5,74,0,0,0,119,81.0,1.55,0.4,3.875,0.05,9,1482,89,17199,27
43418,0,0,51,35,54,12,5,4,131,49.0,2.65,2.0,1.325,0.38461538461538464,55,557,8,11713,39
43432,0,0,29,11,66,8,3,2,83,37.0,2.45,0.5,4.9,0.11764705882352941,23,776,42,15266,46
43445,0,0,42,16,69,1,1,1,179,79.0,1.56,3.8,0.41052631579000004,0.5806451612903226,58,1225,54,16592,36
43504,0,0,48,0,68,4,5,0,179,49.0,1.65,3.7,0.44594594595,0.5142857142857142,42,1266,87,14665,35
43526,0,0,59,32,56,0,0,3,179,69.0,1.48,0.6,2.4666666666999997,0.07692307692307693,34,4214,99,53563,26
43530,0,0,0,0,0,0,0,0,71,49.0,1.85,0.6,3.0833333333,0.23076923076923078,0,0,0,0,0
43537,0,0,0,0,0,0,0,0,179,60.0,2.75,1.1,2.5,0.2,0,0,0,0,0
43539,0,0,0,0,0,0,0,0,179,49.0,2.08,3.9,0.53333333333,0.6071428571428571,0,0,0,0,0
43559,0,0,34,41,24,8,2,1,179,84.0,1.07,3.0,0.35666666667,0.5,21,1343,92,14439,31
43633,0,0,42,17,62,12,3,0,179,49.0,5.1106,3.9,1.3104102564000002,0.5,63,1035,43,17749,25
43663,0,0,33,23,48,5,5,1,119,17.0,1.15,1.8,0.6388888888900001,0.4666666666666667,44,620,9,12682,47
43674,0,0,53,9,67,2,0,2,179,49.0,0.8,1.4,0.57142857143,0.7692307692307693,46,917,79,17342,34
43679,2,0,27,18,50,5,2,1,179,79.0,1.54,4.0,0.385,0.6774193548387096,51,585,10,9380,37
43681,0,0,33,28,38,10,3,1,119,49.0,2.73,1.5,1.8199999999999998,0.7333333333333333,27,709,31,11057,38
43687,0,0,17,25,18,5,2,0,71,49.0,0.5,0.2,2.5,0.09090909090909091,25,558,18,8433,27
43698,6,0,34,34,25,14,1,2,167,72.0,2.68,2.3,1.1652173913000001,0.34375,13,515,6,8596,52
43708,4,2,39,56,26,15,4,1,83,85.0,0.95,0.3,3.1666666667,0.25,27,1219,80,18148,25
43741,0,0,44,38,37,7,1,1,155,69.0,2.67,1.3,2.0538461538,0.4583333333333333,23,1179,85,17085,40
43770,2,1,55,15,63,6,0,2,179,7.0,1.42,2.4,0.5916666666699999,0.5161290322580645,3,1418,99,23679,10
43858,3,0,58,11,78,3,0,2,179,80.0,3.75,2.5,1.5,0.3939393939393939,56,817,59,14808,32
43866,1,0,45,11,67,5,2,1,179,70.0,3.52,3.2,1.1,0.5757575757575758,51,1873,76,25202,32
43867,7,0,45,11,67,5,2,1,179,71.0,3.77,2.7,1.3962962962999999,0.48484848484848486,51,1873,76,25202,32
43888,0,0,53,4,79,2,1,0,71,49.0,1.1,0.2,5.5,0.3333333333333333,18,5486,99,69660,8
43889,0,0,55,6,76,4,2,0,83,47.0,0.75,0.3,2.5,0.1875,63,2725,96,51669,19
43933,0,0,34,27,33,10,1,2,95,3.0,0.54,0.5,1.08,0.15384615384615385,26,1115,60,15657,36
43942,3,0,43,36,40,5,1,1,119,16.0,0.88,1.9,0.46315789474,0.375,35,868,44,16920,36
43943,14,0,39,21,53,7,0,0,119,69.0,2.18,0.9,2.4222222222,0.20833333333333334,33,2614,93,37303,21
43944,0,0,44,18,62,8,1,0,131,79.0,1.78,0.6,2.9666666666999997,0.14285714285714285,54,982,72,18818,30
43956,4,0,37,14,65,6,2,1,155,16.0,1.15,0.9,1.2777777778,0.16,43,904,54,23501,24
43958,14,0,45,18,59,11,2,1,167,16.0,4.96,2.1,2.3619047619,0.375,6,4739,98,33186,8
43965,3,0,44,18,62,8,1,0,179,52.0,1.27,3.0,0.42333333333,0.5625,7,1723,91,26538,12
44038,0,0,42,12,68,5,2,0,179,49.0,2.42,3.1,0.78064516129,0.59375,5,3368,99,38381,6
44042,1,0,42,15,54,9,3,1,71,72.0,0.5,0.2,2.5,0.18181818181818182,39,1395,73,21124,27
44102,0,0,40,8,75,6,0,2,179,85.0,1.37,3.9,0.35128205128,0.5757575757575758,25,725,22,9740,32
44118,2,0,31,28,44,9,1,1,131,78.0,1.95,0.8,2.4375,0.08695652173913043,39,930,51,13696,36
44121,13,0,37,36,43,11,2,2,179,85.0,3.07,3.0,1.0233333332999999,0.5483870967741935,41,710,28,15111,29
44123,0,0,33,47,30,8,4,2,179,49.0,4.87,5.4,0.90185185185,0.78125,14,1263,93,14350,27
44124,1,0,37,36,43,11,2,2,179,17.0,0.96,2.4,0.4,0.5357142857142857,41,710,28,15111,29
44139,8,0,47,9,74,5,2,1,179,75.0,2.78,1.8,1.5444444444,0.7777777777777778,51,2199,96,30359,27
44163,0,0,43,27,27,10,0,2,143,77.0,3.25,3.5,0.9285714285700001,0.6428571428571429,26,1451,87,18547,13
44171,0,0,42,7,49,5,5,0,95,49.0,2.1,0.7,3.0,0.25,45,1246,76,21696,27
44203,5,0,47,9,68,8,0,2,179,16.0,5.4,1.1,4.9090909091,0.25,53,2184,98,27850,23
44204,7,0,43,7,54,4,2,0,179,77.0,3.78,1.9,1.9894736842,0.2903225806451613,42,2246,98,29990,20
44205,0,0,47,14,75,2,2,1,179,76.0,2.841,1.3,2.1853846154,0.2903225806451613,55,2727,96,33912,19
44271,0,0,33,10,58,9,0,1,155,7.0,1.7,2.2,0.77272727273,0.42857142857142855,60,1271,81,30957,28
44279,0,0,52,6,83,3,1,0,179,47.0,3.94,2.1,1.8761904762000001,0.5263157894736842,0,0,0,0,0
44296,4,0,46,16,61,8,0,2,131,49.0,2.42,0.9,2.6888888889,0.16666666666666666,49,643,23,11132,32
44316,0,0,50,11,82,5,1,2,95,81.0,2.2,0.9,2.4444444444,0.4,74,1088,74,17366,37
44330,3,0,47,10,75,10,1,0,179,86.0,3.35,3.3,1.0151515152,0.38235294117647056,53,673,29,13060,38
44369,0,0,53,12,70,7,2,2,179,74.0,3.46,2.3,1.5043478260999998,0.30303030303030304,59,1064,75,17728,34
44372,0,0,53,12,66,5,3,2,179,50.0,4.63,2.2,2.1045454544999997,0.45161290322580644,63,740,42,14572,38
44375,25,0,53,12,66,5,3,2,179,6.0,0.97,0.9,1.0777777778,0.25,63,740,42,14572,38
44407,0,1,44,30,45,8,1,2,155,49.0,3.25,0.7,4.6428571429,0.16,34,1031,71,14196,36
44416,5,0,55,21,46,0,0,0,179,81.0,3.02,2.6,1.1615384615,0.48484848484848486,69,3464,99,33498,24
44449,0,0,50,20,59,11,7,1,83,65.0,0.95,0.3,3.1666666667,0.08333333333333333,46,700,34,10623,37
44462,0,0,48,21,58,2,5,2,179,84.0,7.12,5.2,1.3692307692,0.7741935483870968,35,732,37,12230,43
44476,0,0,59,12,79,4,0,0,131,7.0,0.57,1.0,0.5700000000000001,0.3157894736842105,39,751,39,11949,38
44481,0,0,59,12,79,4,0,0,179,49.0,2.8,1.4,2.0,0.5652173913043478,22,407,6,8818,41
44546,1,0,48,13,49,9,0,0,167,71.0,0.72,3.6,0.2,0.6451612903225806,22,1278,92,15706,54
44560,0,0,51,3,89,4,0,0,179,16.0,1.4,1.2,1.1666666667,0.2413793103448276,76,641,21,12932,37
44563,19,0,51,3,89,4,0,0,59,85.0,0.5,0.2,2.5,0.125,76,641,21,12932,37
44610,0,0,56,8,77,5,2,1,179,82.0,2.89,2.2,1.3136363636,0.34375,61,639,14,11391,48
44615,0,0,36,27,31,5,1,2,179,44.0,5.21,3.7,1.4081081081,0.6176470588235294,25,464,4,8405,36
44616,0,0,0,0,0,0,0,0,59,83.0,1.25,0.2,6.25,0.2,29,743,32,16160,24
44637,0,1,41,28,41,7,5,2,167,75.0,2.72,1.3,2.0923076923,0.22580645161290322,32,780,49,15513,29
44667,0,0,55,12,70,6,3,1,107,45.0,1.07,0.4,2.675,0.05263157894736842,50,697,28,12694,38
44669,4,0,43,18,61,6,3,1,179,16.0,1.18,1.7,0.6941176470599999,0.6666666666666666,45,628,22,11975,32
44707,11,0,55,17,53,3,1,2,155,75.0,1.47,3.0,0.49000000000000005,0.5862068965517241,8,975,66,15018,33
44741,2,0,30,23,43,5,3,1,179,49.0,3.11,3.5,0.88857142857,0.5588235294117647,28,622,24,10744,42
44840,0,1,31,38,35,11,5,2,119,62.0,3.95,0.7,5.6428571429,0.18181818181818182,25,822,48,11127,32
44848,1,0,47,23,49,3,7,0,179,87.0,1.14,2.8,0.40714285714000004,0.6,51,533,17,10823,33
44888,0,0,51,4,74,4,0,3,155,72.0,3.56,2.9,1.2275862069,0.4482758620689655,54,899,76,11495,41
44893,1,0,52,14,60,6,2,0,179,76.0,0.51,1.5,0.33999999999999997,0.7692307692307693,50,566,18,10932,36
44907,4,0,42,6,56,0,1,0,179,83.0,0.76,1.6,0.475,0.6666666666666666,38,642,32,8838,35
44956,0,0,54,26,50,11,3,1,179,71.0,4.1,4.2,0.97619047619,0.5625,33,818,55,11031,39
44962,1,0,40,34,30,7,2,2,131,49.0,1.25,2.2,0.56818181818,0.875,19,779,50,8609,40
44973,4,0,69,5,84,23,0,0,179,17.0,1.23,1.6,0.76875,0.3333333333333333,80,442,0,11147,44
44993,22,0,66,2,80,7,0,9,179,77.0,2.7,1.2,2.25,0.18181818181818182,72,561,7,12240,39
44996,0,0,61,3,85,0,0,0,179,16.0,3.52,4.2,0.8380952381,0.6764705882352942,29,692,36,9317,39
45001,0,0,33,28,45,5,2,1,71,17.0,0.25,0.2,1.25,0.125,28,520,8,8662,39
45035,2,1,26,40,32,6,3,1,95,42.0,1.54,2.6,0.5923076923099999,0.6842105263157895,37,818,57,13814,26
45043,1,0,56,16,67,11,7,0,131,42.0,3.4,1.9,1.7894736842,0.4230769230769231,57,3105,98,57838,20
45048,0,0,56,16,67,11,7,0,143,68.0,3.64,2.1,1.7333333332999998,0.4074074074074074,57,3105,98,57838,20
45056,0,0,0,0,0,0,0,0,179,49.0,1.79,3.2,0.559375,0.6,48,907,62,14307,43
45082,4,2,37,28,44,7,1,1,119,76.0,1.97,2.4,0.8208333333300001,0.6086956521739131,26,924,62,16623,31
45110,0,0,43,18,50,6,1,1,155,61.0,2.18,3.0,0.72666666667,0.48,26,1539,88,21473,29
45146,0,1,34,36,24,8,0,2,71,43.0,0.55,0.2,2.75,0.18181818181818182,19,1153,73,19466,35
45160,2,0,49,28,38,14,0,4,143,85.0,3.4,1.5,2.2666666667,0.18518518518518517,40,1265,75,20209,31
45165,3,0,33,27,54,7,2,2,167,67.0,1.83,4.7,0.38936170213,0.8064516129032258,24,1553,97,21215,25
45176,1,0,61,0,81,0,0,0,95,72.0,3.1,1.8,1.7222222221999999,0.47368421052631576,76,516,23,11022,31
45183,0,0,61,31,42,14,6,3,143,36.0,2.8407,2.6,1.0925769230999998,0.42857142857142855,30,773,22,18402,32
45199,0,0,0,0,0,0,0,0,71,49.0,1.0,0.2,5.0,0.18181818181818182,47,700,26,12548,25
45250,0,0,48,14,75,4,3,2,167,67.0,1.53,3.2,0.478125,0.6551724137931034,57,847,64,15873,36
45291,0,1,34,36,24,8,0,2,167,71.0,4.67,1.4,3.3357142857,0.2692307692307692,68,1014,72,14883,40
45295,0,0,42,20,55,5,1,3,179,84.0,1.69,2.8,0.60357142857,0.6666666666666666,47,680,35,12869,44
45305,0,0,41,26,48,12,0,4,83,75.0,2.24,0.5,4.4799999999999995,0.1875,40,744,42,12549,37
45322,0,0,62,0,55,25,0,0,179,46.0,1.2,3.2,0.375,0.6060606060606061,41,738,32,19063,33
45331,0,0,0,0,0,0,0,0,83,17.0,0.53,0.4,1.325,0.2857142857142857,60,542,7,13439,38
45339,0,1,39,36,36,8,1,3,143,16.0,0.59,1.3,0.45384615385,0.29411764705882354,45,673,22,12819,40
45351,0,0,45,23,56,10,2,4,95,68.0,1.04,0.4,2.6,0.1,49,1151,79,18690,30
45376,0,0,38,41,21,11,2,7,167,51.0,3.98,1.7,2.3411764706,0.15151515151515152,15,1288,98,18415,13
45377,0,1,39,24,29,6,1,3,179,26.0,8.85,6.4,1.3828125,0.7741935483870968,26,1111,85,22090,31
45436,0,3,59,14,78,2,3,2,107,16.0,0.3,0.3,1.0,0.08333333333333333,21,1177,44,16777,29
45446,11,0,42,16,62,10,2,1,143,77.0,3.19,2.8,1.1392857143,0.39285714285714285,44,649,24,11912,38
45461,0,0,34,16,18,9,4,0,179,49.0,1.92,4.2,0.45714285714,0.6875,9,1089,92,20126,17
45509,1,0,49,15,69,8,1,6,179,86.0,2.3,4.5,0.5111111111100001,0.5,60,569,7,11782,41
45513,0,0,45,15,61,12,1,0,143,49.0,2.85,2.5,1.1400000000000001,0.9444444444444444,48,1073,61,13765,37
45528,11,0,35,28,39,11,2,2,155,66.0,2.21,3.2,0.690625,0.6206896551724138,22,819,45,10666,34
45570,0,0,0,0,0,0,0,0,155,80.0,4.08,3.9,1.0461538462,0.6551724137931034,42,1870,93,27317,25
45614,0,1,44,22,46,4,2,0,71,7.0,0.68,0.4,1.7,0.2727272727272727,25,1076,70,10758,40
45641,0,0,47,4,79,9,3,0,167,26.0,3.43,2.4,1.4291666667,0.41935483870967744,62,665,27,14058,38
45652,0,0,53,6,71,9,2,1,155,49.0,2.67,2.2,1.2136363635999998,0.7727272727272727,58,608,17,11438,38
